id,sentence
33,"Kerri, As discussed, set forth below is the list of the ""Second -Tier"" group of Non-Terminated Top Ten Counterparties, where Enron is In-The-Money. First determine where if applicable in your respective confirm world whether the appropriate Enron affiliate has a (i) physical power, or (ii) financial power relationship with each of the counterparties listed. If so, please furnish a listing that evidences the following requests: 1. Live Deals as of November 30, 2001 2. Expired Deals since November 30, 2001 3. New Deals since November 30, 2001 Also, please furnish a hard copy of all live confirmations under request #1 above. Many thanks, SECOND TIER GROUP: Here's the second tier of counterparties to add to the data retrieval list: (11) Medianews Group, Inc. (12) Macromedia Incorporated (13) British Airways plc (14) Merced Irrigation District (15) Eugene Water & Electric Board (16) Johns Manville INternational, Inc. (17) Public Service Company of Colorado (18) James Hardie Australia Finance Pty Ltd (19) Knight-Ridder, Inc. (20) Airtran Holdings, Inc. Cordially,"
34,"Patricia, Please see that authority is granted to me with respect to Live Link: Login ID: sbaile2 Password: bai10ley Thanks. Cordially,"
35,"Alan, I have yet to compile these agreements into a binder, as they were not organized upon my receipt. I will provide copies of the agreements to you shortly. I have left Tom Moran a voice-mail and hope to hear from him today -- so we can confirm that we have all pre-petition mutual terminations."
36,"Kerri, Please deliver what you have, so we can start with those. My location is ECN 3803A. Thanks,"
37,"Guys, Esmeralda will be out sick today -- Tuesday, February 12th. Cordially,"
38,"Suzanne, I have NO exceptions for the time period covering February 1-15. Cordially,"
39,"Barbara, No I have not. "
40,"Sara, I have prepared the 3 individual Master Logs for the relevant Enron affiliates managed out of the London office (ECTRIC, Enron Credit & EFET). You said you would help me craft my email message to Ted & Mary Nell, so I have attached my proposed message. I look forward to your response and the revised message. Cordially,"
41,"Esmeralda, Please handle this matter for me. Thanks"
42,"Esmeralda, Please process this matter for me, so I can use the LiveLink Directory. Thanks. "
43,Great. Thanks.
44,"Nony, Set forth below are those Payment Netting Agreements that (a) you did not have in your possession, or (b) fully-executed versions were not available. Many were in the hands of Credit--have you tracked these down and are any or all of them now available??? Amoco Production Company Net Settlement Agreement dated effective as of August 1, 2001, by and between Amoco Production Company and Enron Reserve Acquisition Corp. [Executed copy is not available. Credit coordinated the execution process and is looking for an executed copy.] Anadarko Energy Services Company Netting Agreement dated effective as of , 2001, by and between Anadarko Energy Services Company and Enron Reserve Acquisition Corp. [Executed copy is not available. Credit coordinated the execution process and is reviewing the credit records to determine if Anadarko agreed to ERAC's changes and such agreement was executed.] BP Oil Supply Company Net Settlement Agreement dated effective as of August 1, 2001, by and between BP Oil Supply Company and Enron Reserve Acquisition Corp. [Executed copy is not available. Credit coordinated the execution process and is looking for an executed copy.] Coastal States Trading Company Net Settlement Agreement dated effective as of , by and between Coastal States Trading Company and Enron Reserve Acquisition Corp. [Credit is looking for executed copy, agreement was executed in mid-November 2001.] Genesis Crude Oil, L.P. Netting Agreement dated effective as of January 1, 2001, by and between Genesis Crude Oil, L.P. and Enron Reserve Acquisition Corp. [Credit is looking for executed copy. The agreement was executed in March-April, 2001.] Navajo Refining Company Netting Agreement dated effective as of November 1, 2001, by and between Navajo Refining Company and Enron Reserve Acquisition Corp. [Partial execution copy - executed by Enron on 11/27/01. Credit is looking for fully executed copy.] Statoil Marketing & Trading (US) Inc. Netting Agreement dated effective as of , 2001, by and between Statoil Marketing & Trading (US) Inc. and Enron Reserve Acquisition Corp. [Executed copy is not available.] Unocal Energy Trading Inc. Netting Agreement dated effective as of November 15, 2001, by and between Unocal Energy Trading Inc. and Enron Reserve Acquisition Corp. [Partial execution copy -executed by Enron on 11/20/01. Credit is looking for fully executed copy.] Williams Energy Marketing & Trading Company Netting Agreement dated effective as of October 1, 2001, by and between Williams Energy Marketing & Trading Company and Enron Reserve Acquisition Corp. [Partial execution copy -executed by Enron on 11/20/01. Credit is looking for fully executed copy.] Williams Refining & Marketing, L.L.C. Netting Agreement dated effective as of October 1, 2001, by and between Williams Refining & Marketing, L.L.C. and Enron Reserve Acquisition Corp. [Partial execution copy -executed by Enron on 11/20/01. Credit is looking for fully executed copy.] I look forward to your response and thanks for all the help. Cordially, "
45,"Steve, I have not laughed so hard in long time. Thanks for the refreshing message. Several definately reminded me of Suggie. Love you."
46,"Stephanie, Please add the following individuals set forth below to list of recipients to receive the Master Termination Log. Also, please add Steve Hall to that list. Thanks, "
47,"Alan, Sorry for the late response, but Tuesday, February 19th was my birthday, and with the Monday holiday I decided to take a few extra days off. But I am here today -- Thursday, February 21st. If you have not got someone else to complete this task, I will be very happy to help. Let me know."
48,"Deb, I took a few days off, and am in the office today, February 21st. I will look at your list and respond shortly. "
49,"Tami, During the last week in January, I delivered to your League in-box the quarterly minutes for the ""The Periwinkle Foundation"", as well as my OBR questionnaire."
50,"Sara, As in our past exercises for the ""Non-Terminated/In-the-Money"" Counterparties, the Thiele-Kaolin Company continues to appear as a ""financial"" trading relationship. However, according to the Confirmation Desk there are only physical arrangements with this counterparty (as evidenced by our GTC docs). I hope that Credit can resolve the mystery???"
51,"Cutiest, Sorry for my absence -- but we have both been extremely busy lately with all the meetings going on. However, I just wanted you to know that you are always in my thoughts, even though we may not see each other. I have wanted to contact you for days, but there was never a free or good moment. Most of my group is gone this afternoon, so I had a chance to drop a line and check on how you are fairing. I have received the news on the Boss and hope you are being taken care of -- since you have been a team for almost 25 years. Please lets not lose touch -- you & I have shared many good & bad times together and I do not want to lose my only ""sister"". Love you, Sciullo "
52,"Tami, Thanks -- I am so glad you got my materials."
53,"Kay, The ""Financial Trading Database"" under Lotus Notes would be the definitive source regarding the Intercompany Master Agreements. Let me know if you want be conduct such search."
54,"Paul, I need your help -- please furnish an executed version of the ISDA Master Agreement dated effective August 16, 2000, between Enron Credit Limited and Royal Bank of Canada. We are trying to work through some matters and a copy of this ISDA is essential. An electronic version if available would be great. Thanks again. Cordially, "
55,"Paul, I need to ask that you furnish an executed version of the ISDA Master Agreement dated effective March 6, 1998, between ECTRIC and J. Aron & Company. We are trying to work through some matters and a copy of this ISDA is essential. An electronic version if available would be great."
56,"Leonard, WELCOME BACK !!!!! Hope you and Dorothy had a pleasant trip to Germany??? Hope all is well with Kasie??? I would love to hear all about it. While you were gone, Maria Pirro contacted me -- she is with West Penn Appraisers, Inc. (""WPA""). She faxed their fee schedule relating to the various Sciullo Properties and signed off on my approval as to costs, so WPA is beginning their work. FYI: I have sent to WPA the monies for the Burger King appraisal as well as the Willow Farms lots. However, there are some properties for which Four Star or Dan & I are not a party to. Therefore, the payment of those appraisals must be handled probably by you or my Dad. I will fax the WPA fee Schedule, so you know what properties constitute WPA's idea of the ""Sciullo Properties"". Once again, welcome back. Susan Cordially,"
57,"Kelley, I will be unable to attend the Noon BOD meeting scheduled for March 6th, as I have a meeting conflict. See you next time."
58,"Kien, Thanks for the follow-up; however, no Tech has called me nor reported to my desk."
